"line","time","species","dilution","dil_fact","count","plasmid","rep"
"P","T2","P",100,200,2,"N",1
"P","T2","V",100,200,4,"N",1
"P","T2","O",1000,200,12,"N",1
"P","T2","P",0,200,0,"N",2
"P","T2","V",100,200,4,"N",2
"P","T2","O",NA,200,NA,"N",2
"P","T2","P",1,200,14,"N",3
"P","T2","V",100,200,3,"N",3
"P","T2","O",NA,200,NA,"N",3
"P","T2","P",100,200,2,"N",4
"P","T2","V",100,200,3,"N",4
"P","T2","O",1000,200,6,"N",4
"P","T2","P",NA,200,NA,"N",5
"P","T2","V",100,200,4,"N",5
"P","T2","O",1,200,46,"N",5
"P","T2","P",100,200,5,"N",6
"P","T2","V",100,200,2,"N",6
"P","T2","O",100,200,2,"N",6
"PLP","T2","P",100,200,12,"Y",1
"PLP","T2","V",1000,200,1,"Y",1
"PLP","T2","O",100,200,4,"Y",1
"PLP","T2","P",NA,200,NA,"Y",2
"PLP","T2","V",100,200,1,"Y",2
"PLP","T2","O",1,200,14,"Y",2
"PLP","T2","P",10,200,20,"Y",3
"PLP","T2","V",1000,200,1,"Y",3
"PLP","T2","O",10,200,4,"Y",3
"PLP","T2","P",NA,200,NA,"Y",4
"PLP","T2","V",1000,200,1,"Y",4
"PLP","T2","O",100,200,6,"Y",4
"PLP","T2","P",100,200,12,"Y",5
"PLP","T2","V",1000,200,1,"Y",5
"PLP","T2","O",100,200,9,"Y",5
"PLP","T2","P",100,200,1,"Y",6
"PLP","T2","V",100,200,5,"Y",6
"PLP","T2","O",1000,200,3,"Y",6
