treatment,rep,species,total,plas,type
PLP,1,P,44,0,comm
PLP,1,V,122,0,comm
PLP,1,O,90,22,comm
PLP,2,P,66,0,comm
PLP,2,V,100,0,comm
PLP,2,O,136,182,comm
PLP,3,P,68,0,comm
PLP,3,V,104,0,comm
PLP,3,O,130,18,comm
PLP,4,P,76,0,comm
PLP,4,V,154,0,comm
PLP,4,O,72,52,comm
PLP,5,P,36,0,comm
PLP,5,V,148,1,comm
PLP,5,O,118,97,comm
PLP,6,P,48,1,comm
PLP,6,V,148,0,comm
PLP,6,O,100,10,comm
PL,1,P,38,0,comm
PL,1,V,140,0,comm
PL,1,O,56,56,comm
PL,2,P,26,0,comm
PL,2,V,128,2,comm
PL,2,O,74,74,comm
PL,3,P,32,0,comm
PL,3,V,168,0,comm
PL,3,O,90,65,comm
PL,4,P,48,0,comm
PL,4,V,104,1,comm
PL,4,O,86,84,comm
PL,5,P,52,0,comm
PL,5,V,122,2,comm
PL,5,O,74,74,comm
PL,6,P,54,0,comm
PL,6,V,124,1,comm
PL,6,O,72,80,comm
MPL,1,O,282,274,mono
MPL,2,O,342,254,mono
MPL,3,O,386,238,mono
MPL,4,O,376,208,mono
MPL,5,O,292,292,mono
MPL,6,O,306,190,mono
MPL,1,P,45,0,mono
MPL,2,P,45,0,mono
MPL,3,P,57,0,mono
MPL,4,P,19,1,mono
MPL,5,P,54,0,mono
MPL,6,P,36,1,mono
MPL,1,V,65,22,mono
MPL,2,V,32,11,mono
MPL,3,V,36,9,mono
MPL,4,V,40,5,mono
MPL,5,V,50,21,mono
MPL,6,V,36,10,mono
