"evo_line","rep","sp","count","phage","plasmid","plas_carry","time","dil","dil_fact","froz","dens","dens_pls","logden","logdpl","plas_prop"
"C",1,"P",96,"N","N",NA,"T1",10000,40,2,76800000,NA,7.88536122003151,NA,NA
"C",1,"V",106,"N","N",NA,"T1",10000,40,2,84800000,NA,7.92839585225671,NA,NA
"C",1,"O",120,"N","N",NA,"T1",10000,40,2,96000000,NA,7.98227123303957,NA,NA
"C",2,"P",78,"N","N",NA,"T1",10000,40,2,62400000,NA,7.79518458968242,NA,NA
"C",2,"V",92,"N","N",NA,"T1",10000,40,2,73600000,NA,7.8668778143375,NA,NA
"C",2,"O",128,"N","N",NA,"T1",10000,40,2,102400000,NA,8.01029995663981,NA,NA
"C",3,"P",40,"N","N",NA,"T1",10000,40,2,32000000,NA,7.50514997831991,NA,NA
"C",3,"V",60,"N","N",NA,"T1",10000,40,2,48000000,NA,7.68124123737559,NA,NA
"C",3,"O",146,"N","N",NA,"T1",10000,40,2,116800000,NA,8.06744284277638,NA,NA
"C",4,"P",52,"N","N",NA,"T1",10000,40,2,41600000,NA,7.61909333062674,NA,NA
"C",4,"V",120,"N","N",NA,"T1",10000,40,2,96000000,NA,7.98227123303957,NA,NA
"C",4,"O",140,"N","N",NA,"T1",10000,40,2,112000000,NA,8.04921802267018,NA,NA
"C",5,"P",38,"N","N",NA,"T1",10000,40,2,30400000,NA,7.48287358360875,NA,NA
"C",5,"V",62,"N","N",NA,"T1",10000,40,2,49600000,NA,7.6954816764902,NA,NA
"C",5,"O",94,"N","N",NA,"T1",10000,40,2,75200000,NA,7.87621784059164,NA,NA
"C",6,"P",48,"N","N",NA,"T1",10000,40,2,38400000,NA,7.58433122436753,NA,NA
"C",6,"V",90,"N","N",NA,"T1",10000,40,2,72000000,NA,7.85733249643127,NA,NA
"C",6,"O",96,"N","N",NA,"T1",10000,40,2,76800000,NA,7.88536122003151,NA,NA
"P",1,"P",120,"Y","N",NA,"T1",10000,40,2,96000000,NA,7.98227123303957,NA,NA
"P",1,"V",72,"Y","N",NA,"T1",10000,40,2,57600000,NA,7.76042248342321,NA,NA
"P",1,"O",22,"Y","N",NA,"T1",10000,40,2,17600000,NA,7.24551266781415,NA,NA
"P",2,"P",212,"Y","N",NA,"T1",10000,40,2,169600000,NA,8.22942584792069,NA,NA
"P",2,"V",176,"Y","N",NA,"T1",10000,40,2,140800000,NA,8.14860265480609,NA,NA
"P",2,"O",88,"Y","N",NA,"T1",10000,40,2,70400000,NA,7.84757265914211,NA,NA
"P",3,"P",NA,"Y","N",NA,"T1",10000,40,2,NA,NA,NA,NA,NA
"P",3,"V",NA,"Y","N",NA,"T1",10000,40,2,NA,NA,NA,NA,NA
"P",3,"O",NA,"Y","N",NA,"T1",10000,40,2,NA,NA,NA,NA,NA
"P",4,"P",192,"Y","N",NA,"T1",10000,40,2,153600000,NA,8.18639121569549,NA,NA
"P",4,"V",116,"Y","N",NA,"T1",10000,40,2,92800000,NA,7.96754797621886,NA,NA
"P",4,"O",168,"Y","N",NA,"T1",10000,40,2,134400000,NA,8.12839926871781,NA,NA
"P",5,"P",106,"Y","N",NA,"T1",10000,40,2,84800000,NA,7.92839585225671,NA,NA
"P",5,"V",76,"Y","N",NA,"T1",10000,40,2,60800000,NA,7.78390357927274,NA,NA
"P",5,"O",66,"Y","N",NA,"T1",10000,40,2,52800000,NA,7.72263392253381,NA,NA
"P",6,"P",78,"Y","N",NA,"T1",10000,40,2,62400000,NA,7.79518458968242,NA,NA
